ipo_status;ticker_code;image;company_name;sector;subsector;listing_board;final_price;line_of_business;address;website;number_of_shares_offered;%_of_total_shares;participant_admin.code;participant_admin.name;book_building_opening;book_building_closing;lowest_book_building_price;highest_book_building_price;opening_of_offering_period;closing_of_offering_period;closing_date;distribution_date;listing_date;ara_arb_percentage;underwriters;warrant.code;warrant.per_share_ratio;warrant.exercise_price_(rp);warrant.open;warrant.high;warrant.low;warrant.close;listing_price.open;listing_price.high;listing_price.low;listing_price.close;listing_price.change;listing_price.percentage_change;listing_price.volume;performa.1D;performa.1W;performa.1M;performa.6M;performa.1Y;performa.updated_at;performa.source;fundamental.aset_percentage;fundamental.liabilitas_percentage;fundamental.pendapatan_percentage;fundamental.laba_bersih_percentage;fundamental.updated_at;fundamental.source
Canceled;FAMA;;PT Bank Fama International Tbk;Properties & Real Estate;;;;Bank Umum Swasta Non Devisa;Jl, Asia Afrika No,115 Bandung - Jawa Barat, 40112;http://www.bankfama.co.id;1312105000;24.0;AR;BINAARTHA SEKURITAS;09/12/2020;17/12/2020;298;328;;;;;;35%;"[{""code"": ""AR"", ""name"": ""BINAARTHA SEKURITAS"", ""percentage"": """"}]";;0.0;;;;;;;;;;;;;;;;;;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;;;;;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;UNIQ;;PT Ulima Nitra Tbk;Energy;Oil, Gas & Coal Equipment & Services;Utama;118.0;Jasa Pertambangan dan Jasa Sewa Menyewa Peralatan Pertambangan;JL, Betet No, 28 RT 22/ RW 9, 9 Ilir, Ilir Timur II, Palembang, Sumatera Selatan, 30113;https://www.ulimanitra.co.id;300000000;9.56;SF;SURYA FAJAR SEKURITAS;17/02/2021;19/02/2021;115;118;02/03/2021;04/03/2021;04/03/2021;05/03/2021;08/03/2021;35%;"[{""code"": ""SF"", ""name"": ""SURYA FAJAR SEKURITAS"", ""percentage"": """"}]";;0.0;;;;;;159.0;159.0;159.0;159.0;41.0;34.75%;250613700.0;35%;35%;5%;-25%;-30%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;13%;24%;33%;-342%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;ARCI;;PT Archi Indonesia Tbk;Basic Materials;Gold;Pengembangan;750.0;Perusahaan holding di bidang pertambangan mineral (antara lain, emas dan perak);Menara Rajawali, Lantai 19, Jl, DR Ide Anak Agung Gde Agung Lot #5,1, Kawasan Mega Kuningan, Jakarta Selatan 12950, Indonesia;https://www.archiindonesia.com;3725250000;15.0;AI;UOB KAY HIAN SEKURITAS;31/05/2021;09/06/2021;750;800;22/06/2021;24/06/2021;24/06/2021;25/06/2021;28/06/2021;25%;"[{""code"": ""AI"", ""name"": ""UOB KAY HIAN SEKURITAS"", ""percentage"": """"}, {""code"": ""CC"", ""name"": ""MANDIRI SEKURITAS"", ""percentage"": """"}, {""code"": ""NI"", ""name"": ""BNI SEKURITAS"", ""percentage"": """"}]";;0.0;;;;;;750.0;850.0;745.0;755.0;5.0;0.67%;374023600.0;1%;0%;-8%;-27%;-54%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;4%;3%;-37%;-81%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;MASB;;PT Bank Multiarta Sentosa Tbk;Financials;Banks;Pengembangan;3360.0;Bank;;https://www.bankmas.co.id;186176500;15.0;SQ;BCA SEKURITAS;07/06/2021;15/06/2021;3000;4000;24/06/2021;28/06/2021;28/06/2021;29/06/2021;30/06/2021;25%;"[{""code"": ""SQ"", ""name"": ""BCA SEKURITAS"", ""percentage"": """"}]";MASB-W;1.0;3500.0;-;-;-;-;3500.0;4200.0;3500.0;4200.0;840.0;25.00%;1418300.0;25%;3%;0%;5%;4%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;-8%;-13%;0%;43%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;BMHS;;PT Bundamedik Tbk;Healthcare;Healthcare Providers;Utama;340.0;Bergerak di bidang aktivitas rumah sakit swasta, poliklinik swasta, dan rumah sakit lainnya;Jl, Teuku Cik Ditiro No, 28, Menteng Jakarta 10350 - Indonesia;https://www.bmhs.co.id;620000000;7.26;KI;CIPTADANA SEKURITAS ASIA;17/06/2021;22/06/2021;300;350;30/06/2021;02/07/2021;02/07/2021;05/07/2021;06/07/2021;25%;"[{""code"": ""KI"", ""name"": ""CIPTADANA SEKURITAS ASIA"", ""percentage"": """"}]";;0.0;;;;;;424.0;424.0;424.0;424.0;84.0;24.71%;1723800.0;25%;201%;203%;131%;74%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;4%;11%;-12%;-64%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;UVCR;;PT Trimegah Karya Pratama Tbk;Technology;Online Applications & Services;Pengembangan;100.0;Perdagangan Voucher Digital dan Jasa Teknologi;Jl, Tebet Barat IX Nomor 35 BB, Tebet Barat, Jakarta Selatan, 12810;https://ultravoucher.co.id/;500000000;25.0;SF;SURYA FAJAR SEKURITAS;29/06/2021;06/07/2021;100;130;19/07/2021;23/07/2021;23/07/2021;26/07/2021;27/07/2021;35%;"[{""code"": ""SF"", ""name"": ""SURYA FAJAR SEKURITAS"", ""percentage"": """"}, {""code"": ""XA"", ""name"": ""NH KORINDO SEKURITAS INDONESIA"", ""percentage"": """"}, {""code"": ""YP"", ""name"": ""MIRAE ASSET SEKURITAS INDONESIA"", ""percentage"": """"}]";UVCR-W;0.5;350.0;-;-;-;-;110.0;110.0;110.0;110.0;10.0;10.00%;6751500.0;10%;60%;374%;228%;43%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;13%;9%;30%;113%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;HAIS;;PT Hasnur Internasional Shipping Tbk;Transportation & Logistic;Logistics & Deliveries;Pengembangan;300.0;Pengangkutan barang dengan menggunakan kapal laut untuk mengangkut suatu jenis barang tertentu,;;https://www.pthis.id;525250000;20.0;DR;RHB SEKURITAS INDONESIA;26/07/2021;06/08/2021;230;300;24/08/2021;30/08/2021;30/08/2021;31/08/2021;01/09/2021;25%;"[{""code"": ""DR"", ""name"": ""RHB SEKURITAS INDONESIA"", ""percentage"": """"}]";;0.0;;;;;;370.0;374.0;370.0;374.0;74.0;24.67%;12520400.0;25%;-3%;-12%;-19%;-19%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;22%;9%;82%;232%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;MCOL;;PT Prima Andalan Mandiri Tbk;Energy;Coal Production;Utama;1420.0;Pertambangan Batubara dan Jasa Pertambangan Melalui Entitas Anak;Gedung Office 8, Lantai 28 SCBD Lot, 28, Jl, Jend, Sudirman Kav, 52 - 53, Kebayoran Baru, Jakarta 12190;https://www.mandiricoal.co.id;355560000;10.0;RF;BUANA CAPITAL SEKURITAS;28/07/2021;16/08/2021;1420;1600;01/09/2021;03/09/2021;03/09/2021;06/09/2021;07/09/2021;25%;"[{""code"": ""RF"", ""name"": ""BUANA CAPITAL SEKURITAS"", ""percentage"": """"}]";;0.0;;;;;;;1690.0;1325.0;1565.0;145.0;10.21%;66018000.0;10%;15%;23%;155%;393%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;27%;-3%;54%;30%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;CMNT;;PT Cemindo Gemilang Tbk;Basic Materials;Construction Materials;Utama;680.0;Industri Semen;Jl, Raya Pluit Selatan Blok S No, 8 I-J RT022/RW008, Penjaringan Jakarta Utara 14440, Indonesia;https://www.semenmerahputih.com;1718800000;10.04;KI;CIPTADANA SEKURITAS ASIA;09/08/2021;19/08/2021;600;800;02/09/2021;06/09/2021;06/09/2021;07/09/2021;08/09/2021;25%;"[{""code"": ""KI"", ""name"": ""CIPTADANA SEKURITAS ASIA"", ""percentage"": """"}, {""code"": ""CC"", ""name"": ""MANDIRI SEKURITAS"", ""percentage"": """"}]";;0.0;;;;;;700.0;850.0;700.0;850.0;170.0;25.00%;84199200.0;25%;20%;39%;55%;49%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;-3%;-2%;17%;-135%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
Closed;GPSO;;PT Geoprima Solusi Tbk;Technology;Electronic Equipment & Instruments;Pengembangan;180.0;Perdagangan Besar Mesin, Peralatan dan Perlengkapan Lainnya;Rukan Artha Gading Niaga Blok D-9, Kelapa Gading, Jakarta Utara 14240;https://www.geoprima.co.id;166666600;25.0;SF;SURYA FAJAR SEKURITAS;09/08/2021;13/08/2021;175;180;30/08/2021;02/09/2021;02/09/2021;03/09/2021;06/09/2021;35%;"[{""code"": ""SF"", ""name"": ""SURYA FAJAR SEKURITAS"", ""percentage"": """"}, {""code"": ""XA"", ""name"": ""NH KORINDO SEKURITAS INDONESIA"", ""percentage"": """"}]";GPSO-W;1.0;250.0;-;-;-;-;242.0;242.0;242.0;242.0;62.0;34.44%;1496300.0;34%;4%;-3%;-41%;-32%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/;-3%;-19%;35%;-102%;31 Juli 2024;https://www.idx.co.id/id/perusahaan-tercatat/kinerja-saham-tercatat-baru/
